ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,MultiTree_Names
tcx,Toda,,11.4184,77.0168,toda1252,,Toda | Tuda
tcy,Tulu,,12.8114,75.2651,tulu1258,,Tulu | Tuḷu
altc,altc,,,,,,Altaic | Altaisch | Altaische Spracheinheit | Altaische Sprachen | Proto-Altaic
mong,Halh Mongolian,,48.32397,106.28874,halh1238,,Mongol | Mongol group | Mongolian | Mongolian languages | Mongolic | Mongolisch | Mongolische Sprachen | Mongolsk | Proto-Mongol | Proto-Mongolian
peh,Bonan,,35.515,102.01778,bona1250,,Baoan | Baonan | Bonan | Pao-an
bxm_bxr_bxu,"bxm, bxr, bxu",,,,,,
dta,Dagur,,48.0,124.0,daur1238,,Dagur | Dahur | Daur | Tongusikonni
xal_kal,xal-kal,,,,,,
xal_iss,xal-iss,,,,,,
khk,Halh Mongolian,,48.32397,106.28874,halh1238,,"Halh Mongolian | Khalkha | Mongol | Mongolian, Halh | Sprache der Äußeren Mongolei | Xalxa"
mjg,Mongghul,,36.84174,101.95904,huzh1238,,Mangghuer | Mongour | Monguor | Tu
mhj,Mogholi,,34.25,62.28,mogh1245,,Moghol | Mogholi | Mongolen | Mongul
mvf,Peripheral Mongolian,,42.4208,110.157,peri1253,,"Khorchin | Khorčin | Mongol (Khamnigan) | Mongolian, Peripheral | Ordos | Ostmongolisch | Peripheral Mongolian"
xal_oir,xal-oir,,,,,,
mvf_ord,Ordos,,42.42,110.16,ordo1245,,
sce,Dongxiang,,35.66354,103.38952,dong1285,,Dongxiang | Dunshan | Santa | Tsung-hsiang
yuy,East Yugur,,38.83687,99.61725,east2337,,"Shira Yughur | Yellow Uighur | Yugur, East | Šera-Yögur"
tung,tung,,,,,,Proto-Tungus | Tungus | Tungus group | Tungusic | Tungusic languages | Tungusisch (nebst Mandschu) | Tungusische Sprachen | Tungusisk
eve,Even,,70.6687,130.914,even1260,,Even | Ewenische | Lamut | Northeastern Tungus | Tungusisabatschi
evn,Evenki,,61.972,94.689,even1259,,Evenki | Ewenki | Ewenkische | Manegir | Solon | Tungus
juc,Jurchen,,44.412626,126.866803,jurc1239,,Džürčen | Ju-chen | Jurchen | Žurčen-Sprache
mnc,Manchu,,47.31225,126.55713,manc1252,,Manchu | Mandschu | Mandschurisch | Mantischeou
gld,Nanai,,48.43426,134.79726,nana1257,,Akani | Birar | Gold | Goldi | Goldisch | Goldische | Kile | Nanai | Nanay | Samagir
neg,Negidal,,52.96584,139.20575,negi1245,,Negidal | Nigidal
oac,Oroch,,50.32354,137.85131,oroc1248,,Oroch | Orochi | Oroć | Sprache der Oročonen
oaa,Orok,,49.36393,143.12819,orok1265,,Orok | Sprache der Oroken
ude,Udihe,,46.63086,135.67762,udih1248,,Sprache der Udehe | Udeheische | Udihe
ulc,Ulch,,51.85209,140.29045,ulch1241,,Olcha | Olča | Ulch | Ulcha
turk,Turkish,,39.8667,32.8667,nucl1301,,II. Classe | Tatarisk | Turkic | Turkic group | Turkic languages | Turkish | Türkisch | Türkische Sprachen | Türksprachen
alt,Southern Altai,,50.1347,86.8705,sout2694,,"Altai | Altai (Southern) | Altai, Southern | Altay | Oirot | Oyrot | Southern Altai | Standard Altay"
aib,Ainu (China),,39.2714,76.4209,ainu1251,,Ainu | Aynu
azb,South Azerbaijani,,36.5137,48.4302,sout2697,,"Afghanistan Oghuz | Azari (Iranian) | Azerbaijani, South | Azeri | South Azerbaijani | Southern Iranian"
azb_azj,"azb, azj",,,,,,
bak,Bashkir,,53.59671,56.55937,bash1264,,Baschkirisch | Bashkir | Bashkiric | Bashkort | Baskir | Sprache einer Gruppe der Baschkiren
clw,Chulym Turkic,,54.3209,89.5541,chul1246,,Chulim | Chulym | Chulym Turkic | Ostiaki
chv,Chuvash,,55.48701,47.16298,chuv1255,,Chuvash | Czuvasch | Tschuwaschisch | Tschuwassisch
crh,Crimean Tatar,,45.0,34.08,crim1257,,Crimean Tatar | Crimean Turkish | CrimeanTurkish
dlg,Dolgan,,71.10828,94.29358,dolg1241,,Dolgan
gag,Gagauz,,44.59876,28.02769,gaga1249,,Gagauz | Gaugausen
krc,Karachay-Balkar,,43.565,42.2606,kara1465,,Karachay | Karachay-Balkar | Karatschaisch
kdr,Karaim,,54.5534,25.1054,kara1464,,Karaim | Karaïm
kaa,Kara-Kalpak,,39.98005,63.32233,kara1467,,Karakalpak | Qaraq-Qarapalpaq | Sprache der Kalakalpaken
kaz,Kazakh,,51.17,71.454,kaza1248,,Kazakh | Qazaq
kjh,Khakas,,50.73933,107.16939,khak1248,,Abaqan | Kamacintzi | Khakas | Sagaijer
klj,Turkic Khalaj,,34.42237,50.32223,turk1303,,"Khalaj | Khalaj, Turkic"
kir,Kirghiz,,42.0,74.0,kirg1245,,Kirghiz | Kirgisischen | Kyrgyz | Qyrghyz
kir_fuy,kir-fuy,,,,,,
uzn_kip,uzn-kip,,,,,,
kum,Kumyk,,43.0,47.0,kumy1244,,Kumyk
nog,Nogai,,44.89776,43.1656,noga1249,,Nogai | Noghay
nog_bla,nog-bla,,,,,,
slr,Salar,,35.5457,102.819,sala1264,,Salar
ybe,West Yugur,,39.0548,99.3112,west2402,,"Saryg Yughur | Yellow Uighur | Yellow Uyghur | Yugur, West | šira-jögur"
cjs,Shor,,52.32607,88.4344,shor1247,,Schoren | Shor
tat,Tatar,,55.79592,49.11577,tata1255,,Baraba | Kazan | Siberisch-Mahumedische Tatarn | Tartar | Tatar
tat_bar,tat-bar,,,,,,
tat_wes,tat-wes,,,,,,
nog_tat,nog-tat,,,,,,
kim,Taiga Sayan Turkic,,53.7145,98.3792,kara1462,,Kanskg | Karagas | Karagassisch | Tofa | Tofalar
kmz_eas,kmz-eas,,,,,,
kmz_wes,kmz-wes,,,,,,
tur,Turkish,,39.8667,32.8667,nucl1301,,Osmanli Turkish | Turkish | Türkisch
tuk,Turkmen,,37.08719,59.17574,turk1304,,Truchmenisch | Turkmen | Türkmen | Türkmenisch
tyv,Tuvinian,,51.7,94.36667,tuvi1240,,Soyot | Tofa | Tuba | Tuva | Tuvan | Tuvin | Urjanchaisch
uum,Urum,,42.0379,43.994,urum1249,,Urum
uig,Uighur,,43.88,87.38,uigh1240,,New Uighur | Uighur | Uigurisch | Uyghur
uzn_uzs,"uzn, uzs",,,,,,
uzn,Northern Uzbek,,40.886,69.211,nort2690,,"City Özbek | Northern Uzbek | Uzbec | Uzbek (Northern) | Uzbek, Northern"
sah,Sakha,,61.69744,133.98031,yaku1245,,Jakuti | Jakutisch | Northeast Siberian | Yakut
nog_yur,nog-yur,,,,,,
adjw,adjw,,,,,,Jukagirisch und Uralisch | Uralic-Yukaghir
ykg_yux,"ykg, yux",,,,,,
nsah,nsah,,,,,,Nilo-Saharan | Nubas
bert,Berta,,10.6474,34.7042,bert1248,,Berta | Bertha
wti,Berta,,10.6474,34.7042,bert1248,,Berta | Bertha | Wetawit
csud,csud,,,,,,Central Sudanic
bbgr,bbgr,,,,,,Bongo-Bagirmi
bmi,Bagirmi,,11.52392,14.769495,bagi1246,,Bagirmi | Bagrima | Barma
fuu,Furu,,4.485,20.6448,furu1242,,Bagiro | Furu
bdh,Baka (South Sudan),,4.65943,29.59,baka1274,,Baka | Baka (in Sudan)
yul_bin,yul-bin,,,,,,
bvq,Birri,,5.33,24.6,birr1240,,Birri
bot,Bongo,,7.4145,27.9918,bong1285,,Bongo
glu,Gula (Chad),,10.3049,19.2182,gula1269,,Gula | Gula (in Central African Republic)
bex,Jur Modo,,6.03321,29.974,jurm1239,,Jur Modo | Jur Mödö | Modo
kah,Kara (Central African Republic),,9.99526,22.9947,kara1482,,Fer | Kara | Kara (in Central African Republic)
kyq,Kenga,,11.6816,18.1464,keng1240,,Kenga
myb,Mbay,,8.23066,15.7328,mbay1241,,Mbai | Mbay
sba,Ngambay,,8.57051,15.414,ngam1268,,Gamba | Gambai | Ngambai | Ngambay
yul,Yulu-Binga,,8.04124,23.6166,yulu1243,,Yulu
kres,Kresh-Woro,,8.43391,25.0,gbay1288,,Kresh | Kresh-Aja
aja,Aja (South Sudan),,8.58003,25.6122,ajas1235,,Aja
krs,Kresh-Woro,,8.43391,25.0,gbay1288,,Gbaya | Kreish | Kresh
lend,Lendu,,2.1898,30.6794,lend1245,,Balendru | Lendu
led,Lendu,,2.1898,30.6794,lend1245,,Badha | Baledha | Balendru | Lendu
niy,Ngiti,,1.30455,30.2242,ngit1239,,Ngiti
mnbe,Mangbetu-Asua,,,,mang1393,,Mangbetu | Mangbetu-Asua | Mangbetu-Lombi-Popoi-Makere-Meje-Asua
mdj,Mangbetu,,2.5511,27.0712,mang1394,,Mangbetu
mane,mane,,,,,,Mangbutu-Efe | Mangbutu-Mamvu-Lese-Mvuba-Efe
les,Lese,,1.3,29.3,lese1243,,Balese | Lese
mdi,Mamvu,,2.68167,28.9862,mamv1243,,Mamvu
morm,morm,,,,,,Moru-Avukaya-Logo-Keliko-Lugbara-Madi | Moru-Ma'di | Moru-Madi
avu,Avokaya,,4.38639,29.9379,avok1242,,Avokaya | Avukaya
log,Logo,,3.32608,29.8866,logo1259,,Logo | Logoti
lgg,Lugbara,,3.02245,30.8642,lugb1240,,High' Lugbara | Logbara | Lugbara
mhi,Ma'di,,3.62499,31.8471,madi1260,,Ma'di | Madi
mgd,Moru,,5.1232,30.3287,moru1253,,Moru
esud,esud,,,,,,East Sudanic | Eastern Sudanic | Inyangatom-Nilotic | Oestliche Misch-Negersprachen
daju,Dar Fur Daju,,12.2598,25.3127,darf1239,,Dagu | Dagu of Darfur-Baygo-Sila-Dagu of Dar Dagu-Dagu of Western Kordofan-Njalgulgule-Shatt-Liguri | Daju
daj,Dar Fur Daju,,12.2598,25.3127,darf1239,,"Dagu of Darfur | Daju (Dar Fur) | Daju, Dar Fur | Kondschara | Kongara | Lagawa | Nyala | Nyala-Lagowa"
shj,Shatt,,10.8525,29.7687,shat1244,,Shatt
dau,Dar Sila Daju,,11.9861,22.2013,dars1235,,"Daju, Dar Sila | Sila"
ejeb,ejeb,,,,,,Eastern Jebel | Jebel | Northern Jebel
tbi,Gaam,,11.4674,33.9797,gaam1241,,Gaam | Ingassana | Ingessana | Tabi
kulk,kulk,,,,,,Kuliak | Nyangiya-Teuso
ikx,Ik,,3.61407,34.2507,ikkk1242,,Ik | Teuso
nyp,Nyang'i,,3.4997,33.73651,nyan1313,,Ngangea | Nyang'i | Nyangi | Nyangiya
teu,Soo,,2.58367,34.7595,sooo1256,,So | Soo
nara,Lala,,-8.93195,146.749,lala1268,,Nara | Nera
nrb,Nara,,15.3251,37.499,nara1262,,Barea | Nara | Nara (in Ethiopia) | Nera
nilc,nilc,,,,,,Nilotic | Nilotiche | Nilotischen Sprachen | Southern Branch Eastern Sudanic
ach,Acoli,,3.57738,32.5147,acol1236,,Acholi | Acoli | Gang | Labwor
anu,Anuak,,7.57714,34.0267,anua1242,,Agnuàc | Anuak | Anyuak | Anywa | Anywak
bfa,Bari,,4.19522,31.0723,bari1284,,Bari | Beri | Nil-Bari
tcc,Barabayiiga-Gisamjanga,,-4.4131,35.2321,dato1239,,Datooga | Tatoga
dib_dik_dip_diw_dks,"dib, dks, dik, dip, diw",,,,,,
lwo,Luwo,,7.35089,28.1378,luwo1239,,Jur | Jur Luwo | Luwo | Lwo
kdj,Karamojong,,2.45157,34.2761,kara1483,,Karamojo | Karamojong | Karimojong
bfa_kuk,bfa-kuk,,,,,,
laj,Lango (Uganda),,2.13867,33.0553,lang1324,,Lang'o | Lango
luo,Luo (Kenya and Tanzania),,-0.93296,34.4896,luok1236,,Cavirondo | Kenya Luo | Luo | Luo-Kavirondo | Nyifwa
mas,Masai,,-3.1419,36.4573,masa1300,,Maa | Maasai | Masai | Másai | Oigob | Sprachen der Wakuafi und Masai
kln_nan,kln-nan,,,,,,
nus,Nuer,,8.13911,32.3829,nuer1246,,Naadh | Nuer | Nuér | West-Nuer
lkr,Päri,,5.09472,32.4822,pari1256,,Päri
pko,Pökoot,,1.57023,35.2318,poko1263,,Pakot | Pokot | Päkot | Pökoot | Suc | Suk
kpz,Kupsabiny,,1.33197,34.5991,kups1238,,Kupsabiny | Sapiny | Sapinya-Sebei | Sebei
shk,Shilluk,,9.85472,31.7926,shil1265,,Colo | Ocolo | Scilluc | Shilluk | Šilluk
teo,Teso,,1.18321,33.9394,teso1249,,Elgumi | Teso | Wamia
tuv,Turkana,,4.30688,35.7101,turk1308,,Turcàna | Turkana
nubn,nubn,,,,,,Nuba-Sprachen | Nubian
mei,Midob,,14.789,27.2236,mido1240,,Meidob | Midob
fia,Nobiin,,22.8142,31.8376,nobi1240,,Mahas | Mahas-Fadidja | Nobiin | Nubi
kzh_don,kzh-don,,,,,,
dil_drb_elh_ghl_kdu_kko_wll,"ghl, kdu, drb, dil, elh, kko, wll",,,,,,
kzh_kun,kzh-kun,,,,,,
nyim,Ama (Sudan),,12.0993,29.4332,amas1236,,Ama | Nyima | Nyima-Affiti | Nyimang | Nyimang-Afitti
nyi,Ama (Sudan),,12.0993,29.4332,amas1236,,Ama | Nyima | Nyimang | nOsa
surm,Tirma-Chai,,6.03205,35.0823,suri1267,,Murle-Longarim-Didinga-Suri-Mekan-Murzu-Surma-Masongo | Surma | Surmic
koe_baa,koe-baa,,,,,,
suq_cha,suq-cha,,,,,,
did,Didinga,,4.21489,33.6869,didi1258,,Didinga
xwg,Kwegu,,5.40416,36.1702,kweg1241,,Koegu | Kwegu | Kwegu-Muguji
mpe,Majang,,7.71,34.97,maja1242,,Majang | Majangir | Masongo | Mesengo
mym,Me'en,,6.63207,35.6255,meen1242,,Me'en | Mekan
mur,Murle,,6.69756,33.988,murl1244,,Murle
muz,Mursi,,5.69801,36.0971,murs1242,,Mursi | Murzu
tex,Tennet,,4.91107,32.6307,tenn1246,,Tennet
suq,Tirma-Chai,,6.03205,35.0823,suri1267,,Suri | Tirmaga
tsun,Tama-Sungor-Miisiirii,,,,tama1330,,Tama-Sungor | Taman
tma_mii,tma-mii,,,,,,
sjg,Assangori,,13.9592,22.6393,assa1269,,Assangori | Erenga-Sungor | Sungor
tma,Tama (Chad),,14.332,21.9951,tama1331,,Tama
tmen,Temein,,11.8275,29.3898,nucl1339,,Temein | Temein Of Nuba Hills | Temein-Jirru | Temein-Teis-um-Danab
teq,Temein,,11.8275,29.3898,nucl1339,,Ronge | Rongé | Temein
furr,Fur,,12.0455,23.6401,furr1244,,For | Fur | Furan
fvr,Fur,,12.0455,23.6401,furr1244,,For | Fur
gumz,Northern Gumuz,,11.05,35.93,gumu1244,,Gumuz
guk,Northern Gumuz,,11.05,35.93,gumu1244,,Bega | Gumuz | Gumuz-Sese-Disoha
komn,Koman,,,,koma1264,,Koma | Koman | Koman Proper
xom,Komo (Sudan-Ethiopia),,8.94162,34.0939,komo1258,,Central Koma | Koma | Komo | S. Koma
kunm,Kunama,,14.5879,37.5292,kuna1268,,Kunama
kun,Kunama,,14.5879,37.5292,kuna1268,,Cunama | Kunama
maab,Mabaan,,9.81455,33.5404,maba1273,,Maba | Maban
mde,Maba (Chad),,12.89147,20.8889,maba1277,,Bora-Mabang | Maba | Mabang
mls,Masalit,,13.2733,22.1752,nucl1440,,Masalit
rou,Runga,,9.7154,20.9945,rung1258,,Aiki | Runga
saha,saha,,,,,,Saharan
kbl,Kanembu,,13.8749,14.8437,kane1243,,Kanembu
knc,Central Kanuri,,11.8,13.13,cent2050,,"Central Kanuri | Kanuri | Kanuri, Central"
dzg_tuq,"dzg, tuq",,,,,,
shab,Shabo,,7.64407,35.223,shab1252,,Shabo
sbf,Shabo,,7.64407,35.223,shab1252,,Shabo | Shako
song,Songoora,,-2.21871,26.3477,song1300,,Songai | Songay | Songhai | Songhay
khq,Koyra Chiini Songhay,,16.192,-3.73962,koyr1240,,"Koyra Chiini | Songhay, Koyra Chiini | Timbuktu"
ses,Koyraboro Senni Songhai,,16.9634,-0.55187,koyr1242,,"Koyraboro Senni | Songhay, Koyraboro Senni"
dje,Zarma,,12.8554,2.41173,zarm1239,,Zarma | Zerma
eska,eska,,,,,,Eskimauan | Eskimo-Aleut
eski,Kalaallisut,,69.3761,-52.864,kala1399,,Eskimo | Eskimoan | Grönlandsk
wbma,wbma,,,,,,Sirenikski-Yupik
ysr,Old Sirenik,,64.5192,-173.925,sire1246,,"Sirenik | Sirenikski | Yupik (Sirenik) | Yupik, Sirenik"
ynk,Naukan Yupik,,65.5184,-171.755,nauk1242,,"East Cape Yupik | Naukan | Naukanski | Naukanski Yupik | Yupik (Naukan) | Yupik, Naukan"
ess,Central Siberian Yupik,,63.4308,-170.272,cent2128,,"Central Siberian Yupik | St. Lawrence Island Yupik | Yuit | Yupik (Siberian) | Yupik (St. Lawrence Island) | Yupik, Central Siberian"
esu,Central Alaskan Yupik,,60.3062,-161.486,cent2127,,"Central Alaskan Yup'ik | Central Alaskan Yupik | Central Yupik | Yup'ik (Central) | Yupik, Central"
esu_ege,esu-ege,,,,,,
esu_gen,esu-gen,,,,,,
esu_hoo,esu-hoo,,,,,,
esu_nun,esu-nun,,,,,,
esu_nor,esu-nor,,,,,,
ems,Pacific Gulf Yupik,,60.4238,-148.043,paci1278,,"Alutiiq | Pacific Gulf Yupik | Pacific Yupik | Yupik, Pacific Gulf"
ems_chu,ems-chu,,,,,,
ems_kon,ems-kon,,,,,,
inui,Kalaallisut,,69.3761,-52.864,kala1399,,Eastern Eskimo | Inuit | Inuit-Inupiaq | Inupiaq | Iñupiaq-Inuktitut
esk,Seward Alaska Inupiatun,,64.77955,-161.80666,nort2945,,"Inupiatun, Northwest Alaska | Northwest Alaska Inupiatun | Seward Peninsula Inupiaq | Seward Peninsula Iñupiaq"
esk_kii,esk-kii,,,,,,
esk_qaw,esk-qaw,,,,,,
esi,North Alaskan Inupiatun,,69.582,-143.77,nort2943,,"Inupiatun, North Alaskan | Iñupiaq | North Alaska Inupiaq | North Alaska Iñupiaq | North Alaskan Eskimo | North Alaskan Inupiaq | North Alaskan Inupiatun"
esk_nor_esk_smi,"esk-smi, esk-nor",,,,,,
esi_nor,North Slope Inupiatun,,,,nort2944,,
ikt,Western Canadian Inuktitut,,64.3486,-96.148,west2618,,"Inuktitut (Rankin Inlet) | Inuktitut, Western Canadian | Western Canadian Eskimo | Western Canadian Inuit | Western Canadian Inuktitut | Western Canadian Inuktun"
ikt_sig,Siglitun,,,,sigl1242,,
ikt_cop,ikt-cop,,,,,,
ikt_car,Kivalliq,,,,cari1277,,
ikt_net,Natsilingmiutut,,,,nets1241,,
ike,Eastern Canadian Inuktitut,,62.1735,-75.6139,east2534,,"Canadian Eskimo | Eastern Canadian Eskimo | Eastern Canadian Inuit | Eastern Canadian Inuktitut | Inuktitut, Eastern Canadian"
ike_aiv,ike-aiv,,,,,,
ike_sou,ike-sou,,,,,,
ike_tar,ike-tar,,,,,,
